Symbol,Name,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
HIT,Hitachi ADS,40.78,41.57,40.57,41.5,1.84,4.64,815167,45.02,26.01,,,,35.27
HOC,Holly Corp.,24.43,25.6,24.3,25.55,1.7,7.13,1027665,33.53,16.71,0.6,2.35,,-0.31
HEP,Holly Energy Partners,40.9,41.77,40.33,40.7,0.7,1.75,165726,48.17,28.07,3.26,8.01,17.54,2.16
HD,Home Depot,34.51,34.68,34.18,34.55,0.51,1.5,16378188,37.03,22.27,0.95,2.75,20.69,19.43
HME,Home Properties,48.38,49.61,47.94,49.51,2.2,4.65,704937,51.46,29.86,2.32,4.69,85.36,3.77
HMC,Honda Motor ADS,30.86,31.37,30.77,31.33,0.93,3.06,301893,37.23,25,0.09,,19.83,-7.58
HON,Honeywell International,43.16,43.5,42.65,43.42,1.31,3.11,5764198,48.63,29.17,1.21,2.79,15.51,10.77
HMN,Horace Mann Educators,14.56,15.49,14.56,15.46,1.27,8.95,348887,17.98,8.66,0.32,2.07,7.62,23.68
HRZ,Horizon Lines,4.26,4.34,4.13,4.25,0.22,5.46,235723,6.92,3.08,0.2,4.71,,-23.7
HRL,Hormel Foods,40.08,40.08,39.62,39.91,0.25,0.63,948087,42.68,33.64,0.84,2.1,14.62,3.8
HOS,Hornbeck Offshore Services,17.93,18.05,15.44,16.54,-1.06,-6.02,3240508,30.76,15.44,,,17.41,-28.95
DHI,D.R. Horton,12.25,12.35,11.92,12.34,0.33,2.75,5892257,15.44,8.26,0.15,1.22,,13.52
HSP,Hospira,51.22,52.12,51.06,52.08,1.55,3.07,991970,58.13,33.35,,,22.84,2.12
HPT,Hospitality Properties Trust,21.9,22.62,21.57,22.58,1.21,5.66,1612307,28.32,10.83,0.9,,17.78,-4.77
HST,Host Hotels&Resorts,13.94,14.76,13.77,14.73,1.18,8.71,13627468,17.09,7.07,0.26,,,26.22
HOV,Hovnanian Enterprises Cl A,6.4,6.4,6.08,6.35,0.31,5.13,3034035,8.05,1.79,,,,65.36
HNP,Huaneng Power International ADS,22.23,22.28,21.52,21.6,0.09,0.42,1119475,34.43,20.39,1.23,5.69,9.04,-3.57
HUBA,Hubbell Cl A,41.08,41.46,40.87,41.4,1.22,3.04,3355,50.35,28.86,1.44,3.48,,-8.61
HUBB,Hubbell Cl B,43.47,43.84,42.91,43.6,1.12,2.64,219011,52.59,31.05,1.44,3.3,13.71,-7.82
HGT,Hugoton Royalty Trust Un,18.6,18.9,18.4,18.89,0.78,4.31,234626,20.01,11.96,1.29,6.83,18.7,17.48
HUM,Humana,45.57,45.74,44.98,45.71,1.17,2.63,1105110,52.66,27.54,,,7.09,4.15
HUN,Huntsman,9.86,10.16,9.72,10.15,0.64,6.73,6677712,14.25,4.95,0.4,3.94,11.4,-10.1
H,Hyatt Hotels,38.44,39.81,38.27,39.69,1.86,4.92,181227,43.88,25.75,,,,33.14
HYC,Hypercom,4.75,4.92,4.75,4.9,0.24,5.15,462351,4.92,1.2,,,,54.57
IBN,ICICI Bank ADS,36.1,37.4,36.03,37.29,2.44,7,2924231,45.95,25.45,0.53,1.42,24.53,-1.11
IDTC,IDT,7.52,7.7,7.5,7.59,0.12,1.61,1900,8.53,1.1,,,,99.74
IDT,IDT Cl B,9.48,9.87,9.45,9.55,0.25,2.69,108352,11,1.44,,,,96.91
BIN,IESI-BFC,19.68,19.91,19.55,19.87,0.39,2,67955,20.68,9.16,0.5,2.52,29.66,24.03
CTC,IFM Investments ADS,4.99,5.28,4.87,5.23,0.24,4.83,60250,8.2,4.5,,,12.45,
IHS,IHS Cl A,54.01,54.01,51.37,51.98,0.81,1.58,290217,56.73,44.65,,,24.75,-5.16
ING,ING Groep ADS,7.92,8.17,7.81,8.15,0.73,9.84,6721211,18.89,6.78,,,,-16.92
IVZ,INVESCO,18.69,19.06,18.24,19.02,0.61,3.31,7678772,24.07,14.58,0.42,,21.37,-19.03
IO,ION Geophysical,5.54,5.76,5.51,5.76,0.39,7.26,1315251,6.95,1.88,,,,-2.7
IRS,IRSA-Inversiones y Representaciones GDS,10.7,11.02,10.66,11.02,0.35,3.28,85485,13.94,4.5,0.14,,4.37,16.37
ITT,ITT,48.92,49.13,48.18,48.93,1.4,2.95,2546273,57.99,40.46,1,2.04,14.78,-1.63
ESI,ITT Educational Services,104.24,105.52,101.1,101.9,-3.1,-2.95,1744574,121.98,85,,,11.46,6.19
IAG,IAMGOLD,17.22,17.87,17.21,17.67,0.65,3.82,2901138,21,8.57,0.06,,55.22,12.98
IEP,Icahn Enterprises,31.05,33.76,31,33.76,3.1,10.11,21985,51.65,26.8,1,2.96,15.78,-15.49
IDA,IDACORP,32.53,32.96,32.43,32.8,0.74,2.31,294359,36.93,22.57,1.2,3.66,12.81,2.66
IEX,IDEX,30.59,31.12,30.36,31.08,1.17,3.91,548236,35.54,22.16,0.6,1.93,19.8,-0.22
ITW,Illinois Tool Works,46.16,46.96,46,46.93,1.77,3.92,3356179,52.72,31.48,1.24,2.64,18.62,-2.21
IMN,Imation,10.27,10.59,9.93,10.34,0.36,3.61,143366,12.59,7.34,,,,18.58
IHC,Independence Holding,7.21,7.58,7.21,7.55,0.53,7.55,8495,10,4.75,0.05,0.66,21.57,30.17
IIT,Indosat ADS,27.75,27.8,27.6,27.8,0.13,0.47,10120,34.61,23.11,0.85,,10.73,10.71
IBA,Industrias Bachoco ADS,20.12,20.97,20,20.51,0.51,2.55,14263,24.41,17,0.41,,23.04,-10.83
NRGP,Inergy Holdings,71.25,72.48,70.09,72.17,0.92,1.3,13501,80.59,36.76,3.9,5.4,24.97,22.85
NRGY,Inergy,35.99,36.5,35.75,36.45,0.98,2.76,157842,38.67,23.66,2.78,7.63,227.81,2.16
IR,Ingersoll-Rand,37,37.77,36.93,37.68,1.55,4.29,3383842,40.6,19.48,0.28,,25.29,5.43
IM,Ingram Micro Cl A,16.74,17.16,16.66,17.15,0.72,4.38,1772198,18.99,15.81,,,11.75,-1.72
IRC,Inland Real Estate,8.19,8.22,8.02,8.22,0.23,2.85,960885,10.29,6.22,0.57,6.93,205.5,0.86
TEG,Integrys Energy Group,44.9,45.19,44.62,45.14,0.88,1.99,905322,50.92,26.7,2.72,6.03,22.35,7.5
IDC,Interactive Data,32.5,32.6,32.1,32.53,0.33,1.02,399696,34,21.96,0.8,2.46,22.75,28.58
IHG,InterContinental Hotels Group ADS,15.57,15.99,15.42,15.98,0.95,6.32,162028,18.02,9.43,0.41,,20.75,11.2
ICE,IntercontinentalExchange,114.43,117.45,114.43,117.35,4.25,3.76,782778,125,83,,,25.29,4.5
IBI,Interline Brands,19.8,20.16,19.46,20.14,0.82,4.24,196689,22.2,12.29,,,23.42,16.62
IN,Intermec,11.17,11.35,11.01,11.35,0.43,3.94,187123,15.64,10.36,,,,-11.74
IBM,International Business Machines,125.05,126.39,124.77,126.39,3.16,2.56,7724647,134.25,99.5,2.6,2.06,12.84,-3.45
ICO,International Coal Group,4.1,4.42,4.07,4.4,0.42,10.55,4496330,5.71,2.24,,,73.33,13.99
IFF,International Flavors&Fragrances,44.09,45.18,43.75,45.18,1.91,4.41,515458,51.77,30.18,1,2.21,16.92,9.82
IGT,International Game Technology,19.26,20,19.25,19.96,1.22,6.51,5052969,23.3,13.58,0.24,1.2,46.42,6.34
IP,International Paper,23.04,23.77,22.73,23.76,1.42,6.36,7514994,29.25,12.26,0.5,2.1,41.68,-11.28
IRF,International Rectifier,20.5,21.08,20.5,21.06,0.95,4.72,691804,25.13,13.99,,,18.97,-4.79
ISH,International Shipholding,22.61,24.47,22.61,24.19,1.73,7.7,68161,37,21.26,1.88,7.77,4.09,-22.14
IOC,InterOil,49.79,50.55,47.72,49.55,2.31,4.89,836531,84.05,24.35,,,,-35.49
IPG,Interpublic Group,8.05,8.61,8.05,8.58,0.66,8.33,10759130,12.4,4.57,,,45.16,16.26
IPI,Intrepid Potash,24.3,25.01,24.16,24.98,1.21,5.09,839408,34.56,21,,,44.61,-14.36
IVC,Invacare,24.26,24.51,23.97,24.48,0.57,2.38,177488,30.31,16.03,0.05,0.2,18.83,-1.84
IMA,Inverness Medical Innovations,34.11,35,34.04,35,1.27,3.77,621234,44.87,30.27,,,875,-15.68
IVR,Invesco Mortgage Capital,20.5,20.77,20.34,20.77,0.64,3.18,496662,24.92,15,2.44,,9.31,-8.74
ITG,Investment Technology Group,16.5,16.81,16.39,16.81,0.51,3.13,339425,28.9,15.47,,,19.32,-14.67
IWA,Iowa Telecommunications Services,16.64,16.75,16.6,16.75,0.28,1.7,494798,17.73,8.85,1,5.97,57.76,-0.06
IRM,Iron Mountain,24.75,24.87,24.54,24.87,0.62,2.56,1010416,32.04,21.32,0.06,,30.7,9.27
SFI,iStar Financial,6.2,6.28,6.07,6.2,0.29,4.91,3137021,7.82,1.95,,,,142.19
ITUB,Itau Unibanco Holding ADS,18.47,18.61,18.14,18.61,0.97,5.5,27122148,23.95,13.32,0.38,2.04,10.01,-18.52
ITC,ITC Holdings,51.87,53.17,51.66,52.85,1.46,2.84,643564,56.66,39.9,1.28,2.42,19.87,1.46
IVN,Ivanhoe Mines,13.99,14.82,13.99,14.67,1.15,8.51,2563029,18.94,4.91,,,,0.41
JCG,J. Crew Group,42.56,43.87,42.43,43.86,1.73,4.11,2459174,50.96,19.55,,,23.21,-1.97
JPM,JPMorgan Chase,39.58,40.49,39.4,40.42,1.64,4.23,44793639,48.2,31.59,0.2,0.49,15.67,-3
JBL,Jabil Circuit,13.39,14.06,13.31,13.98,1.07,8.29,4541729,18.49,6.41,0.28,2,93.2,-19.52
JTX,Jackson Hewitt Tax Service,1.57,1.61,1.54,1.61,0.09,5.92,1206363,7.58,1.46,,,,-63.41
JEC,Jacobs Engineering Group,41.56,42.46,41.38,42.43,1.96,4.84,1544629,50.68,33.7,,,16.45,12.82
JAG,Jaguar Mining,9.3,9.3,9.09,9.16,0.06,0.66,511838,14.01,6.66,,,,-18.14
JHX,James Hardie Industries ADS,30.72,30.72,30.7,30.7,1.16,3.93,200,41.22,14.5,,,,-19.62
JNS,Janus Capital Group,10.58,10.81,10.36,10.8,0.52,5.06,5282872,16.06,9.25,0.04,0.37,,-19.7
JAH,Jarden,27.96,28.4,27.75,28.37,0.98,3.58,768953,35.11,17.19,0.23,,40.53,-8.22
JEF,Jefferies Group,23.33,23.73,22.86,23.65,0.9,3.96,932529,30.99,17.82,0.15,,15.77,-0.34
JKS,JinkoSolar Holding ADS,9.83,10.26,9.5,10.2,0.77,8.17,121720,11.4,8.23,,,,
JMP,JMP Group,6.9,7.07,6.73,7.03,0.28,4.15,111834,11.16,6.34,0.06,0.85,12.33,-27.67
JAS,Jo-Ann Stores,45,48,45,46.48,3.78,8.85,1651565,48.24,18.98,,,18.82,28.26
JBT,John Bean Technologies,16.99,17.18,16.55,17.14,0.64,3.88,112005,19.73,11.14,0.28,1.63,15.17,0.76
JNJ,Johnson&Johnson,59.74,59.89,58.71,59.03,-0.09,-0.15,29882966,66.2,53.86,2.16,3.66,12.43,-8.35
JCI,Johnson Controls,28.65,29.29,28.55,29.29,1.31,4.68,5911887,35.77,18.53,0.52,1.78,17.23,7.53
JNY,Jones Apparel Group,19.32,20.35,19.29,20.34,1.35,7.11,1518254,24.72,8.4,0.2,0.98,,26.65
JLL,Jones Lang LaSalle,73.68,75.96,73.03,75.9,4.31,6.02,698142,84.49,28.78,0.2,0.26,60.72,25.66
JRN,Journal Communications Cl A,4.9,5.05,4.8,5.05,0.36,7.68,322241,6.52,0.86,,,36.07,29.82
JPM%,JPMorgan Chase Wt,13.95,14.21,13.65,14.21,0.75,5.57,176221,17.41,10.5,,,,6.6
JNPR,Juniper Networks,26.58,27.28,26.54,27.26,1.21,4.64,6739208,32.16,21.23,,,52.42,2.21
KAR,KAR Auction Services,13.8,14.16,13.8,14.09,0.32,2.32,265313,15.84,11.09,,,46.97,2.18
KB,KB Financial Group ADS,40.03,40.6,39.21,40.6,2.79,7.38,513048,55.42,29.89,,,12.45,-20.16
KBH,KB Home,14.96,14.98,14.36,14.72,0.2,1.38,4635169,20.7,11.15,0.25,1.7,,7.6
KSP,K-Sea Transportation Partners,6.35,6.35,6.16,6.27,0.16,2.62,51242,24.59,5.97,3.08,,,-45.85
KT,KT ADS,18.81,19.1,18.68,19.03,0.34,1.82,2217489,22.81,13.13,,,15.22,13.14
KVA,K-V Pharmaceutical Cl A,1.35,1.4,1.31,1.36,0.08,6.25,280995,5.36,1.25,,,,-62.94
KVB,K-V Pharmaceutical Cl B,1.51,1.6,1.51,1.55,0.05,3.33,22900,8.43,1.5,,,,-60.76
LRN,K12,24.15,24.91,23.76,24.83,1.1,4.64,192315,25.48,15.28,,,34.01,22.5
KAI,Kadant,19.68,19.8,19.03,19.75,0.72,3.78,58069,22.77,8.99,,,493.75,23.75
KSU,Kansas City Southern,37.86,38.8,37.16,38.8,2.01,5.46,1541664,42.32,14.75,,,38.8,16.55
KS,KapStone Paper&Packaging,11.33,11.5,10.97,11.36,0.38,3.46,318047,14,3.94,,,5.65,15.56
KDN,Kaydon,37.33,38.38,37.12,38.32,1.63,4.44,147453,45.69,29.16,0.72,1.88,26.07,7.16
KBR,KBR,20.87,21.65,20.39,21.63,1.24,6.08,1526207,24.73,16.29,0.2,0.92,13.52,13.84
KBW,KBW,24.9,25.43,24.6,25.4,1.04,4.27,154996,34.5,23.26,,,26.74,-7.16
KEI,Keithley Instruments,9.48,9.68,9.3,9.52,0.46,5.08,275727,10.89,3.14,0.15,1.58,68,104.73
K,Kellogg,53.2,53.61,52.97,53.59,1.06,2.01,1668106,56,42.84,1.5,2.8,15.72,0.73
KMT,Kennametal,28.1,28.42,27.87,28.41,1.12,4.1,700153,34.89,15.29,0.48,1.69,,9.61
KW,Kennedy-Wilson Holdings,11.03,11.03,10.8,11,0.16,1.48,49709,11.7,8.58,,,,22.91
KCP,Kenneth Cole Productions Cl A,11.67,11.8,11.02,11.8,0.37,3.24,125807,14.88,6.46,,,,22.28
KEG,Key Energy Services,9.33,9.8,9.19,9.8,0.73,8.05,1416703,11.54,4.68,,,,11.49
KEY,KeyCorp,7.88,8.2,7.73,8.2,0.5,6.49,18402463,9.84,4.4,0.04,0.49,,47.75
KID,Kid Brands,8.27,8.61,8.02,8.57,0.55,6.86,146949,10.5,3.05,,,13.6,95.66
KRC,Kilroy Realty,32.44,33.25,32.08,33.15,1.53,4.84,646905,37.21,18.08,1.4,4.22,94.71,8.09
KMB,Kimberly-Clark,60.88,61.19,60.53,61.18,0.93,1.54,2341131,67.03,50.42,2.64,4.32,13.75,-3.97
KIM,Kimco Realty,14.12,14.58,13.94,14.56,0.76,5.51,5832287,16.72,8.16,0.64,4.4,,7.61
KMP,Kinder Morgan Energy Partners,63.74,64,63.29,63.82,1.3,2.08,641222,69.33,48.01,4.28,6.71,67.89,4.66
KMR,Kinder Morgan Management,55.21,55.78,54.95,55.24,0.75,1.38,278523,59.93,39.65,4.28,7.75,108.31,4.8
KND,Kindred Healthcare,15.74,15.95,15.5,15.93,0.6,3.91,238912,20,10.7,,,11.46,-13.71
KCI,Kinetic Concepts,40.72,41.72,40.72,41.72,1.71,4.27,641029,53.01,24.89,,,12.23,10.81
KG,King Pharmaceuticals,8.48,8.55,8.34,8.47,0.15,1.8,5131404,13.2,8.16,,,19.7,-30.97
KFS,Kingsway Financial Services,1.59,1.72,1.58,1.66,0.06,3.75,93736,4.78,1.05,0.08,,,-5.14
KGC,Kinross Gold,17.13,17.52,17.07,17.3,0.4,2.37,4030835,23.91,16.13,0.1,0.58,36.04,-5.98
KEX,Kirby,40.08,40.69,39.61,40.69,1.58,4.04,395842,43.96,28.71,,,14.53,16.82
KRG,Kite Realty Group Trust,4.44,4.78,4.31,4.74,0.45,10.49,442713,5.97,2.6,0.24,5.06,,16.46
KFN,KKR Financial Holdings,8.28,8.44,8.26,8.32,0.21,2.59,1921890,9.49,0.75,0.22,,5.99,43.45
KCG,Knight Capital Group Cl A,14.55,14.71,14.34,14.71,0.46,3.23,1367098,14.71,14.21,,,9.37,
KNX,Knight Transportation,19.8,19.99,19.42,19.87,0.48,2.48,1110812,22.38,15.78,0.24,1.21,32.57,3.01
KNL,Knoll Inc.,14.47,14.71,14.33,14.7,0.56,3.96,581540,14.93,6.6,0.08,0.54,33.41,42.3
KSS,Kohl's,50.08,50.56,49.23,50.52,1.11,2.25,6582613,60.89,40.64,,,14.82,-6.32
KNM,Konami ADS,16.51,16.68,16.51,16.64,0.15,0.91,800,21.98,16.16,0.3,1.8,15.7,-7.56
KOP,Koppers Holdings,27.27,28.01,26.99,27.89,1.23,4.61,75952,34,21.39,0.88,3.16,26.31,-8.38
KEP,Korea Electric Power ADS,13.2,13.4,13.07,13.4,0.7,5.51,632770,18.2,10.43,,,,-7.84
KFY,Korn/Ferry International,14.06,14.14,13.64,13.73,0.05,0.37,468449,18.62,9.43,,,,-16.79
KFT,Kraft Foods Cl A,28.8,29.08,28.57,29.06,0.66,2.32,14550386,31.09,24.8,1.16,3.99,16.8,6.92
KRA,Kraton Performance Polymers,19.02,20,18.86,19.94,1.25,6.69,162852,21.38,12.76,,,13.56,47.05
KKD,Krispy Kreme Doughnuts,3.64,3.86,3.62,3.86,0.3,8.43,256760,5.15,2.51,,,,30.85
KR,Kroger,20.16,20.16,19.7,19.85,0.03,0.15,16036642,24.8,19.45,0.38,1.91,198.5,-3.31
KRO,Kronos Worldwide,17.54,17.94,17.54,17.94,0.33,1.87,3100,21.01,5.44,,,25.63,10.4
KUB,Kubota ADS,39.64,40.31,39.64,40.23,1.69,4.39,9648,51.08,35.59,0.79,,22.6,-12.77
KYO,Kyocera ADS,87.26,89.17,87.05,88.28,1.98,2.29,5826,105.85,71.39,0.68,,,-0.03
ID,L-1 Identity Solutions,7.38,7.45,7.34,7.44,0.15,2.06,457187,9.5,5.67,,,,-0.67
LDK,LDK Solar ADS,6,6.19,5.87,6.18,0.33,5.64,3240095,14.27,5.06,,,,-11.84
LPL,LG Display ADS,17.49,17.96,17.44,17.96,1.42,8.59,1859631,21.59,11.11,,,,6.08
LXU,LSB Industries,16.42,16.65,16.19,16.61,0.6,3.75,177027,19.96,10.62,,,33.22,17.8
LTC,LTC Properties,25.64,25.98,25.17,25.95,0.85,3.39,111448,28.76,19.08,1.56,6.01,21.45,-2.99
LLL,L-3 Communications Holdings,83.44,83.83,82.79,83.82,1.85,2.26,972636,97.81,63.57,1.6,1.91,10.72,-3.6
LZB,La-Z-Boy,11.87,12.15,11.59,12.15,0.76,6.67,376630,15.46,1.81,,,25.31,27.49
LH,Laboratory of America Holdings,75.94,76.46,75.77,76.41,1.42,1.89,1173767,83,59.76,,,15.28,2.1
LAB,LaBranche&,4.38,4.38,4.25,4.33,0.1,2.36,240665,6.1,2.38,,,,52.46
LG,Laclede Group,33.18,33.41,32.91,33.18,0.58,1.78,124963,35.89,29.26,1.58,4.76,13.94,-1.75
LFL,LAN Airlines ADS,18.51,18.79,18.44,18.79,0.7,3.87,251992,19.29,10.65,0.34,,27.63,12.72
LDR,Landauer,60.73,62.55,60.73,61.53,1.11,1.84,23791,71.71,50.26,2.15,3.49,23.31,0.21
LNY,Landry's Restaurants,24.34,24.55,23.85,24.51,0.68,2.85,74362,25.56,7.75,,,,15.12
LVS,Las Vegas Sands,22.76,23.83,22.61,23.83,2.18,10.07,43566892,26.57,6.32,,,,59.5
LHO,LaSalle Hotel Properties,22.36,23.35,22,23.3,1.64,7.57,725990,28.22,10.34,0.12,,,9.75
LAZ,Lazard,32.74,33,32.42,32.96,0.95,2.97,617757,44.62,25.2,0.5,1.52,,-13.19
LF,LeapFrog Enterprises Cl A,5.21,5.34,5.06,5.27,0.23,4.56,177794,7.51,1.91,,,527,34.78
LEA,Lear Corp.,67.88,68.5,66.99,68.03,1.91,2.89,552214,84.97,0.25,,,4.2,0.58
LEE,Lee Enterprises,3.16,3.31,3.16,3.31,0.19,6.09,170039,4.77,0.48,,,19.47,-4.61
LM,Legg Mason,29.86,30.59,29.76,30.57,1.24,4.23,3544979,34.83,17.73,0.16,0.52,23.34,1.36
LMI,Legg Mason Un,31.3,31.88,31.15,31.5,0.25,0.8,3115,38.36,20.75,3.5,11.11,,-7.76
LEG,Leggett&Platt,22.91,23.54,22.83,23.53,1.06,4.72,1352996,25.15,13.88,1.04,4.42,23.3,15.34
LPS,Lender Processing Services,33.77,34.5,33.61,34.48,1.21,3.64,569083,44.38,26.33,0.4,1.16,11.81,-15.2
LEN,Lennar Cl A,17.87,17.88,17.15,17.57,0.32,1.86,5807761,21.79,7.28,0.16,0.91,,37.59
LENB,Lennar Cl B,14.68,14.68,14.15,14.54,0.31,2.18,41286,18.07,5.58,0.16,1.1,,47.76
LII,Lennox International,44.2,46.04,44.02,45.69,2.34,5.4,780653,51.09,28.02,0.6,1.31,33.35,17.03
LUK,Leucadia National,21.51,22.22,21.45,22.19,1.07,5.07,1257385,28.37,18,,,6.41,-6.73
LXP,Lexington Realty Trust,6.15,6.37,6.07,6.35,0.39,6.54,1114467,7.76,2.81,0.4,6.3,,4.44
LXK,Lexmark International,37.27,38.41,37.15,38.19,1.73,4.74,2711817,42.14,14.23,,,16.6,47
LRY,Liberty Property Trust,30.23,31.39,29.91,31.31,1.78,6.03,1287596,36.18,20.76,1.9,6.07,125.24,-2.19
LTM,Life Time Fitness,35.86,36.95,35.51,36.95,2.1,6.03,453853,40.72,16.66,,,19.87,48.22
LLY,Eli Lilly,32.67,32.87,32.52,32.82,0.57,1.77,6107329,38,32.02,1.96,5.97,8.48,-8.09
LTD,Limited Brands,25.02,25.44,24.94,25.43,1.1,4.52,5203565,28.78,10.28,0.6,2.36,15.05,32.17
TVL,Lin TV,6.36,6.58,6.28,6.57,0.33,5.29,130789,8.22,1.18,,,,47.31
LNC,Lincoln National,26.62,27.47,25.96,27.41,1.73,6.74,3820766,33.55,14.34,0.04,0.15,23.03,10.17
LNN,Lindsay,35.18,35.37,34.46,35.2,0.95,2.77,100866,47.45,29.71,0.32,0.91,22.14,-11.67
LGF,Lions Gate Entertainment,6.8,6.89,6.76,6.86,0.11,1.63,245121,7.29,4.81,,,,18.07
LAD,Lithia Motors Cl A,8.05,8.34,7.95,8.3,0.54,6.96,223858,16.49,5.18,0.05,,21.84,0.97
LYV,Live Nation Entertainment,11.94,12.24,11.79,12.21,0.57,4.9,6067027,16.9,3.98,,,,43.48
LIZ,Liz Claiborne,6.16,6.38,6.07,6.34,0.46,7.82,2131070,9.72,2.4,,,,12.61
LYG,Lloyds Banking Group ADS,3.28,3.4,3.24,3.4,0.26,8.28,8531495,5.36,2.88,2.32,68.24,1.02,3.98
LMT,Lockheed Martin,80.6,80.6,79.62,80.56,1.46,1.85,2487702,87.19,67.39,2.52,3.13,10.67,6.91
L,Loews,31.98,33.01,31.98,32.97,1.55,4.94,3497025,39.47,25.27,0.25,0.76,8.7,-9.3
LFT,Longtop Financial Technologies ADS,33.63,34,32.9,33.77,0.49,1.47,275936,41.77,21.9,,,31.56,-8.78
LO,Lorillard,72.67,73,72.16,73,0.99,1.37,1990274,82.26,65.37,4,5.48,11.85,-9.01
LPX,Louisiana-Pacific,8.28,8.53,8.19,8.53,0.55,6.89,2134679,13.44,2.76,,,,22.21
LOW,Lowe's,24.68,25.15,24.46,25.12,0.78,3.2,13537372,28.54,18.02,0.36,1.43,21.11,7.4
LSI,LSI,5.33,5.45,5.33,5.43,0.23,4.42,9984472,6.73,4.03,,,49.36,-9.65
LZ,Lubrizol,87.77,90.44,87,90.44,4.61,5.37,947821,97.8,43.3,1.44,1.59,10.49,23.98
LUB,Luby's,3.87,4.02,3.82,4.02,0.21,5.51,134483,4.94,3.25,,,,9.24
LL,Lumber Liquidators Holdings,29.32,29.84,28.93,29.8,1.11,3.87,164341,33.41,13.79,,,28.93,11.19
LUX,Luxottica Group ADS,23.49,24.19,23.32,24.17,1.19,5.18,107061,29.5,18.85,0.47,1.94,24.66,-5.88
LDL,Lydall,8.3,8.3,7.96,8.13,0.12,1.5,116186,9.36,2.82,,,,56.05
MFW,M&F Worldwide,31.13,32.75,31.13,32.75,2.32,7.62,49770,43.28,15.87,,,6.24,-17.09
MTB,M&T Bank,80.95,81.76,79.75,81.48,1.86,2.34,1745748,91.47,43.5,2.8,3.44,22.95,21.81
MBI,MBIA,6.94,7.18,6.81,7.16,0.49,7.35,5630873,10.92,3.19,,,,79.9
MDC,M.D.C. Holdings,31.59,31.78,30.9,31.66,0.75,2.43,385076,39.28,26.81,1,3.16,37.25,2
MDZ,MDS,8.1,8.41,8.1,8.41,0.34,4.21,303482,9.28,4.48,,,,9.93
MDU,MDU Resources Group,18.05,18.28,18,18.22,0.43,2.42,633010,24.22,17.11,0.63,3.46,58.77,-22.8
WFR,MEMC Electronic Materials,11.37,11.6,11.32,11.58,0.45,4.04,5200095,21.36,10.24,,,,-14.98
MFA,MFA Financial,7.11,7.28,7.02,7.28,0.32,4.6,12358388,8.39,6.14,0.96,13.19,6.62,-0.95
MF,MF Global Holdings,7.73,7.92,7.66,7.9,0.33,4.36,2677028,9.94,4.88,,,,13.67
MTG,MGIC Investment,8.85,9.24,8.6,9.22,0.65,7.58,7528025,13.8,3.27,,,,59.52
MGM,MGM MIRAGE,12.22,12.82,12.04,12.82,1.11,9.48,30787036,16.66,5.34,,,,40.57
MIM,MI Developments Cl A,13.19,13.47,12.89,13.42,0.46,3.55,65529,14.78,7.58,0.6,4.47,447.33,9.28
MHO,M/I Homes,12.22,12.49,11.84,12.45,0.73,6.23,134627,18,7.87,,,,19.83
MPG,MPG Office Trust,2.94,3.06,2.76,3.04,0.34,12.59,3084373,4.6,0.51,,,,101.32
MXB,MSCI Cl A,29.22,29.69,29.17,29.69,1,3.49,891934,38.61,20.31,,,33.36,-6.64
MSM,MSC Industrial Direct,51.35,51.86,50.8,51.77,1.52,3.02,166965,57.96,33.82,0.8,1.55,28.14,10.15
TUC,Mac-Gray,11.54,12,11.16,11.96,0.76,6.79,31030,14.36,7.84,0.05,,56.95,16.12
MAC,Macerich,40.74,41.56,39.62,41.43,2.18,5.55,3058775,47.19,14.46,2,4.83,25.73,15.24
CLI,Mack-Cali Realty,32.76,33.44,32.2,33.43,1.55,4.86,1430506,38.74,21.07,1.8,5.38,47.08,-3.3
MIC,Macquarie Infrastructure,14.07,14.44,13.46,14.4,0.73,5.34,330763,17.05,3.1,0.8,,,17.26
M,Macy's,21.62,22.08,21.25,22.05,1.03,4.9,10428767,25.25,10.27,0.2,0.91,20.42,31.56
MMP,Magellan Midstream Partners,44.15,44.46,43.38,44,0.7,1.62,270927,48.6,31.81,2.88,6.55,17.46,1.55
MGA,Magna International Cl A Sub Vtg,68.09,68.83,67.57,68.46,1.7,2.55,1262090,77.18,30.82,0.18,,,35.35
MAG,Magnetek,1.44,1.58,1.44,1.44,,,26779,2.15,1.2,,,,-6.49
MTA,Magyar Telekom Telecommunications ADS,15,15.63,15,15.63,1.16,8.02,66529,24.99,13.54,1.87,11.96,8.83,-18.17
MTE,Mahanagar Telephone Nigam ADS,2.44,2.55,2.4,2.55,0.1,4.08,102648,5.15,2.27,0.04,,36.43,-16.94
MFB,Maidenform Brands,23.27,23.43,22.78,23.43,0.88,3.9,162985,26.05,10.52,,,13.02,40.38
MTW,Manitowoc,12.16,12.32,11.64,12.31,0.73,6.3,2999605,16.43,4.15,0.08,,,23.47
MAN,Manpower,47.63,47.7,46.58,47.32,0.88,1.89,1014692,63,38.28,0.74,1.56,,-13.3
MFC,Manulife Financial,15.97,16.87,15.96,16.86,1.33,8.56,3967066,24.97,15,0.52,,8.14,-8.07
